wavelength,0,1,2,3,4,5
540,-0.0019,0.0285,0.0164,0.0292,0.0693,0.0678
542,-0.002,0.0287,0.0178,0.0313,0.0717,0.0703
544,-0.0021,0.0294,0.0192,0.0336,0.0748,0.0738
546,-0.0021,0.0311,0.021,0.0363,0.0797,0.0785
548,-0.0019,0.0314,0.0228,0.0389,0.0823,0.0815
550,-0.0021,0.0326,0.0247,0.042,0.0869,0.0862
552,-0.0021,0.0338,0.0268,0.0452,0.0914,0.0911
554,-0.002,0.035,0.0291,0.0487,0.0964,0.0961
556,-0.0021,0.0361,0.0313,0.0521,0.1011,0.101
558,-0.002,0.0375,0.0338,0.0558,0.1062,0.1064
560,-0.002,0.0381,0.0364,0.0599,0.1106,0.1113
562,-0.0021,0.0412,0.0393,0.0642,0.1189,0.1196
564,-0.002,0.0422,0.0426,0.0693,0.1245,0.1258
566,-0.0021,0.0442,0.0458,0.0742,0.1318,0.1333
568,-0.0022,0.0457,0.0483,0.0781,0.1374,0.1391
570,-0.0023,0.0479,0.0504,0.0815,0.144,0.1456
572,-0.0025,0.0515,0.0532,0.086,0.1536,0.155
574,-0.0026,0.0533,0.0563,0.091,0.161,0.1627
576,-0.0028,0.0572,0.06,0.0969,0.1723,0.1741
578,-0.0029,0.0598,0.0638,0.1027,0.182,0.1837
580,-0.0029,0.0625,0.0691,0.111,0.1938,0.1959
582,-0.0026,0.0632,0.0737,0.1175,0.201,0.2034
584,-0.0029,0.067,0.0802,0.1282,0.2152,0.2191
586,-0.0028,0.0712,0.0861,0.1373,0.2283,0.2328
588,-0.0025,0.0707,0.0929,0.1475,0.2365,0.2425
590,-0.0024,0.0737,0.1009,0.1601,0.2513,0.2588
592,-0.0024,0.0758,0.1091,0.1727,0.2651,0.2742
594,-0.0024,0.081,0.1159,0.1834,0.2826,0.2921
596,-0.0024,0.0854,0.1235,0.1951,0.2998,0.3099
598,-0.0024,0.0874,0.1322,0.2086,0.3145,0.3266
600,-0.0023,0.0915,0.14,0.2207,0.3312,0.3442
602,-0.0023,0.0951,0.148,0.2329,0.347,0.361
604,-0.0023,0.098,0.1543,0.2424,0.3594,0.3742
606,-0.0016,0.1013,0.1626,0.2539,0.3746,0.3888
608,-0.0027,0.1061,0.1655,0.2603,0.3855,0.4015
610,-0.0024,0.1059,0.1714,0.2681,0.3912,0.4078
612,-0.0022,0.1083,0.175,0.2731,0.3981,0.4148
614,-0.0022,0.1095,0.1778,0.2768,0.402,0.4186
616,-0.0023,0.1115,0.1794,0.2789,0.4059,0.4221
618,-0.0022,0.1114,0.1817,0.2814,0.4061,0.4222
620,-0.0022,0.1126,0.1831,0.283,0.4081,0.4237
622,-0.0021,0.1121,0.1854,0.2857,0.4077,0.4238
624,-0.0022,0.1157,0.187,0.2879,0.4136,0.4292
626,-0.0023,0.1171,0.1902,0.2921,0.4182,0.4334
628,-0.0021,0.1197,0.1946,0.2977,0.425,0.4401
630,-0.0022,0.1231,0.1986,0.3039,0.4342,0.4491
632,-0.0023,0.1257,0.2056,0.3135,0.4443,0.4602
