Time,calib,upstream,downstream
5855.58,0.599841,-0.181472,-0.244708
5855.59,0.600818,-0.159011,-0.248614
5855.6,0.599841,-0.13069,-0.240802
5855.61,0.600818,-0.104323,-0.226153
5855.62,0.601794,-0.067214,-0.216388
5855.63,0.601794,-0.030104,-0.193927
5855.64,0.599841,0.013841,-0.173419
5855.65,0.600818,0.05681,-0.149005
5855.66,0.603748,0.100755,-0.120685
5855.67,0.601794,0.149583,-0.090411
5855.68,0.601794,0.194505,-0.059161
5855.69,0.602771,0.233568,-0.024981
5855.7,0.602771,0.267747,0.006269
5855.71,0.601794,0.297044,0.037519
5855.72,0.601794,0.317552,0.069745
5855.73,0.599841,0.336107,0.102948
5855.74,0.600818,0.345872,0.134198
5855.75,0.600818,0.353685,0.166425
5855.76,0.600818,0.351732,0.195722
5855.77,0.600818,0.348802,0.222089
5855.78,0.601794,0.318529,0.245526
5855.79,0.600818,0.302904,0.271894
5855.8,0.599841,0.285325,0.294354
5855.81,0.601794,0.268724,0.309003
5855.82,0.601794,0.255052,0.322675
5855.83,0.601794,0.232591,0.33244
5855.84,0.601794,0.202318,0.334394
5855.85,0.602771,0.171068,0.329511
5855.86,0.599841,0.140794,0.318769
5855.87,0.599841,0.105638,0.298261
5855.88,0.601794,0.078294,0.2758
5855.89,0.601794,0.060716,0.249433
5855.9,0.601794,0.017747,0.17619
5855.91,0.601794,-0.035964,0.131269
5855.92,0.601794,-0.048659,0.146894
5855.93,0.601794,-0.091628,0.107831
5855.94,0.600818,-0.145339,0.068769
5855.95,0.600818,-0.214675,0.031659
5855.96,0.601794,-0.247878,-0.000567
5855.97,0.600818,-0.247878,-0.034747
5855.98,0.602771,-0.26155,-0.065997
5855.99,0.601794,-0.273268,-0.092364
5856,0.599841,-0.280104,-0.118731
5856.01,0.600818,-0.276198,-0.142169
5856.02,0.602771,-0.272292,-0.163653
5856.03,0.599841,-0.262526,-0.183185
5856.04,0.601794,-0.253737,-0.203692
5856.05,0.601794,-0.240065,-0.219317
5856.06,0.602771,-0.226393,-0.232989
5856.07,0.600818,-0.209792,-0.238849
5856.08,0.600818,-0.186354,-0.240802
5856.09,0.601794,-0.165847,-0.244708
5856.1,0.600818,-0.135573,-0.234942
5856.11,0.601794,-0.108229,-0.231036
5856.12,0.600818,-0.073073,-0.213458
5856.13,0.600818,-0.033034,-0.194903
5856.14,0.599841,0.009935,-0.175372
5856.15,0.601794,0.052903,-0.149005
5856.16,0.601794,0.100755,-0.118731
5856.17,0.601794,0.15056,-0.092364
5856.18,0.600818,0.194505,-0.061114
5856.19,0.600818,0.236497,-0.026935
5856.2,0.602771,0.2697,0.003339
5856.21,0.600818,0.30095,0.035565
5856.22,0.602771,0.323411,0.068769
5856.23,0.601794,0.340989,0.101972
5856.24,0.600818,0.351732,0.133222
5856.25,0.601794,0.357591,0.164472
5856.26,0.601794,0.357591,0.195722
5856.27,0.600818,0.352708,0.223065
5856.28,0.602771,0.321458,0.249433
5856.29,0.600818,0.30681,0.270917
5856.3,0.600818,0.292161,0.293378
5856.31,0.601794,0.27263,0.309979
5856.32,0.599841,0.254075,0.328534
