Time,calib,bad,upstream,downstream
5970.64,0.599841,0.312669,0.312669,-0.024005
5970.65,0.599841,0.341966,0.341966,0.017011
5970.66,0.600818,0.372239,0.372239,0.063886
5970.67,0.599841,0.391771,0.391771,0.108808
5970.68,0.600818,0.408372,0.408372,0.156659
5970.69,0.602771,0.415208,0.415208,0.204511
5970.7,0.599841,0.422044,0.422044,0.237714
5970.71,0.600818,0.421068,0.421068,-0.371661
5970.72,0.600818,0.416185,0.416185,0.350019
5970.73,0.600818,0.405443,0.405443,0.391034
5970.74,0.599841,0.393724,0.393724,0.425214
5970.75,0.599841,0.373216,0.373216,0.451581
5970.76,0.598865,0.353685,0.353685,0.473065
5970.77,0.598865,0.345872,0.345872,0.484784
5970.78,0.601794,0.278489,0.278489,0.485761
5970.79,0.599841,0.227708,0.227708,0.474042
5970.8,0.601794,0.206224,0.206224,0.442792
5970.81,0.599841,0.141771,0.141771,0.416425
5970.82,0.599841,0.093919,0.093919,0.379315
5970.83,0.600818,0.039232,0.039232,0.33244
5970.84,0.602771,-0.015456,-0.015456,0.266034
5970.85,0.599841,-0.073073,-0.073073,0.204511
5970.86,0.599841,-0.127761,-0.127761,0.159589
5970.87,0.601794,-0.1678,-0.1678,0.11369
5970.88,0.600818,-0.191237,-0.191237,0.097089
5970.89,0.598865,-0.22737,-0.22737,0.046308
5970.9,0.600818,-0.294753,-0.294753,0.017987
5970.91,0.599841,-0.330886,-0.330886,-0.017169
5970.92,0.601794,-0.327956,-0.327956,-0.054278
5970.93,0.600818,-0.342604,-0.342604,-0.089435
5970.94,0.600818,-0.348464,-0.348464,-0.120685
5970.95,0.601794,-0.347487,-0.347487,-0.153888
5970.96,0.602771,-0.347487,-0.347487,-0.182208
5970.97,0.600818,-0.341628,-0.341628,-0.212481
5970.98,0.600818,-0.329909,-0.329909,-0.234942
5970.99,0.597888,-0.320143,-0.320143,-0.253497
5971,0.599841,-0.302565,-0.302565,-0.265216
5971.01,0.599841,-0.277175,-0.277175,-0.272052
5971.02,0.599841,-0.256667,-0.256667,-0.277911
5971.03,0.601794,-0.228347,-0.228347,-0.25838
5971.04,0.600818,-0.190261,-0.190261,-0.263263
5971.05,0.601794,-0.148268,-0.148268,-0.25545
5971.06,0.600818,-0.103347,-0.103347,-0.238849
5971.07,0.599841,-0.052565,-0.052565,-0.223224
5971.08,0.600818,-0.009597,-0.009597,-0.205646
5971.09,0.598865,0.030443,0.030443,-0.184161
5971.1,0.600818,0.090989,0.090989,-0.16463
5971.11,0.599841,0.168138,0.168138,-0.146075
5971.12,0.599841,0.219896,0.219896,-0.13631
5971.13,0.600818,0.266771,0.266771,-0.077716
5971.14,0.600818,0.304857,0.304857,-0.034747
5971.15,0.601794,0.340989,0.340989,0.008222
5971.16,0.602771,0.36931,0.36931,0.05412
5971.17,0.599841,0.391771,0.391771,0.100995
5971.18,0.600818,0.407396,0.407396,0.151776
5971.19,0.598865,0.419114,0.419114,0.199628
5971.2,0.598865,0.42595,0.42595,0.245526
5971.21,0.599841,0.426927,0.426927,0.261151
5971.22,0.599841,0.422044,0.422044,0.350019
5971.23,0.600818,0.413255,0.413255,0.389081
5971.24,0.600818,0.40056,0.40056,0.425214
5971.25,0.601794,0.382005,0.382005,0.450604
5971.26,0.601794,0.361497,0.361497,0.470136
5971.27,0.600818,0.349779,0.349779,0.481854
5971.28,0.600818,0.27556,0.27556,0.483808
5971.29,0.598865,0.239427,0.239427,0.471112
5971.3,0.600818,0.212083,0.212083,0.447675
5971.31,0.597888,0.156419,0.156419,0.414472
5971.32,0.599841,0.103685,0.103685,0.378339
5971.33,0.599841,0.049974,0.049974,0.336347
5971.34,0.600818,-0.007643,-0.007643,0.26994
5971.35,0.599841,-0.060378,-0.060378,0.209394
5971.36,0.600818,-0.115065,-0.115065,0.162519
5971.37,0.600818,-0.162917,-0.162917,0.117597
